另	ling6
叨	du1
叨	tu1
叩	kau3
只	zi2
叫	giu3
召	ziu6
可	ho2
台	toi4
史	sai2
右	jau6
叶	hip3
司	si1
吁	hyu1
吃	hek3
吃	gat1
各	gok3
吆	jiu1
合	hap6
吉	gat1
吊	diu3
同	tung4
名	ming4
后	hau6
吏	li6
吐	tu3
向	hoeng3
吓	haak3
吓	haa1
君	gwan1
吝	lan6
吞	tan1
吟	jam4
吠	fai6
否	fau2
否	pi2
含	ham4
听	jan5
听	teng1
听	ting3
吳	ng4
吵	caau2
吸	kap1
吹	cui1
吻	man5
吼	hau2
吾	ng4
呂	lyu5
呆	daai1
呆	ngoi4
呈	cing4
告	gu3
周	zau1
味	mi6
呼	fu1
命	ming6
和	wo4
咎	gau3
咒	zau3
咨	zi1
咬	ngeu5
咳	kat1
咸	haam4
咽	jin3
咽	jin1
咽	jit3
哀	oi1
品	pan2
哄	hung6
哄	hung2
哄	hung1
員	jyun4
哥	go1
哪	naa5
哪	naa4
哭	huk1
哲	zit3
哽	ang2
哽	gang2
唆	slo1
唇	san4
唐	tong4
唚	cam3
售	sau6
唯	wai4
唱	coeng3
唸	nim6
唾	to3
啃	hang2
啄	doek3
商	soeng1
問	man6
啓	kai2
啞	aa2
啞	ak1
啟	kai2
啼	tai4
喂	wai3
善	sin6
喉	hau4
喊	hem3
喘	cyun2
喚	wun6
喜	hi2
喝	hot3
喧	hyun1
喪	slong3
喪	slong1
喫	jaak3
喬	kiu4
單	daan1
單	sin6
喻	jyu6
嗅	cau3
嗇	sik1
嗉	slui3
嗓	slong2
嗜	si3
嗣	ci6
嗤	ci1
嗽	slau3
嘆	taan3
嘉	gaa1
嘔	au2
嘗	coeng4
嘮	lu4
嘴	zui2
噁	ok3
噁	wu3
噇	cong4
噍	ziu6
噎	jit3
噓	hyu1
噓	syu4
噦	jyut3
噦	wai3
器	hi3
噴	pan3
噹	dong1
嚇	haak3
嚐	coeng4
嚥	jin3
嚮	hoeng3
嚴	jim4
嚷	joeng6
嚼	zoek3
囂	hiu1
囉	lo1
囉	lo4
囉	lo3
囊	nong4
囌	slu1
囑	zuk1
囚	cau4
四	sli3
回	wui4
因	jan1
囤	tan4
囪	cung1
困	kwan3
囱	cung1
固	gu3
圈	hyun1
圈	gyun3
國	gok3
圍	wai4
園	jyun4
圓	jyun4
圖	tu4
團	tyun4
土	tu2
圣	sing3
在	zoi6
圩	hyu1
圩	wai4
圭	gwai1
地	di6
址	zi2
均	gwan1
坍	taan1
坎	ham2
坏	waai6
坐	co5
坑	haang1
坡	po1
坤	kwan1
坦	taan2
坪	ping4
坯	pui1
坳	eu3
垂	sui4
型	jing4
垛	do3
垮	kwaa1
垵	am2
垻	baa3
埂	gang2
埃	oi1
埋	maai4
城	sing4
域	wik6
埠	fau6
埠	bu6
埯	am2
執	zap1
培	pui4
基	gi1
堂	tong4
堅	gin1
堆	dui1
堡	bu2
