ŋ21	ng4
ŋ21	ng4
ŋ21	ng4
ŋ24	ng5
ŋ24	ng5
ŋ24	ng5
ŋ22	ng6
ŋ22	ng6
fu55	fu1
fu35	fu2
fu35	fu2
fu33	fu3
hu21	hu4
hu21	hu4
hu21	hu4
hu21	hu4
fu55	fu1
khu21	ku4
hu21	hu4
hu21	hu4
hu21	hu4
hu24	hu5
hu24	hu5
hu22	hu6
hu22	hu6
wu55	wu1
wu55	wu1
wɔk2	wok6
ny24	nyu5
lu21	lu4
lu21	lu4
ly24	lyu5
ly24	lyu5
ly22	lyu6
ly22	lyu6
tʃhy55	cyu1
ʃy33	syu3
tʃhy21	cyu4
tʃy22	zyu6
tʃy22	zyu6
ʃui35	sui2
tʃy55	zyu1
tʃy33	zyu3
tʃhy21	cyu4
tʃhy21	cyu4
tʃhy24	cyu5
tʃhy24	cyu5
tʃy22	zyu6
tʃɔ35	zo2
tʃhɔ55	co1
tʃhɔ35	co2
tʃhɔ35	co2
tʃhɔ21	co4
tʃɔ22	zo6
ʃɔ55	so1
ʃɔ55	so1
ʃɔ55	so1
ɬɔ35	slo2
tʃy55	zyu1
tʃy35	zyu2
tʃhy33	cyu3
tʃhy24	cyu5
tʃhy33	cyu3
ʃy55	syu1
ky55	gyu1
ʃy35	syu2
ʃy35	syu2
ʃy35	syu2
ʃy33	syu3
ʃy33	syu3
ʃy33	syu3
ʃy22	syu6
jy21	jyu4
jy24	jyu5
ky55	gyu1
ky55	gyu1
ky35	gyu2
ky33	gyu3
ky33	gyu3
hy55	hyu1
hy33	hyu3
hy33	hyu3
khy21	kyu4
khy24	kyu5
ky22	gyu6
khy24	kyu5
khy24	kyu5
jy21	jyu4
jy21	jyu4
jy24	jyu5
jy22	jyu6
jy22	jyu6
hy55	hyu1
hy55	hyu1
hy35	hyu2
jy55	jyu1
jy55	jyu1
hy21	hyu4
hy21	hyu4
hy24	hyu5
hy22	hyu6
hy22	hyu6
hy22	hyu6
fu55	fu1
fu55	fu1
fu35	fu2
fu35	fu2
fu35	fu2
phu35	pu2
phu35	pu2
fu35	fu2
fu22	fu6
fu33	fu3
fu22	fu6
fu33	fu3
fu55	fu1
fu55	fu1
fu55	fu1
fu55	fu1
fu35	fu2
fu33	fu3
phu33	pu3
fu21	fu4
fu21	fu4
fu21	fu4
fu21	fu4
fu35	fu2
fu22	fu6
phu35	pu2
fu22	fu6
fu22	fu6
mu21	mu4
mu55	mu1
mu55	mu1
mu24	mu5
mu24	mu5
mu24	mu5
mu24	mu5
mu22	mu6
mu22	mu6
lɐu24	lau5
lui24	lui5
tʃhy55	cyu1
tʃhy35	cyu2
tʃhy35	cyu2
tʃhy33	cyu3
tʃy22	zyu6
ɬy55	slyu1
ɬu55	slu1
ɬy55	slyu1
ʃy55	syu1
tʃy55	zyu1
tʃy55	zyu1
tʃhy35	cyu2
tʃy33	zyu3
tʃy33	zyu3
tʃhy21	cyu4
tʃhy21	cyu4
tʃhy24	cyu5
tʃy22	zyu6
tʃhy21	cyu4
ʃu35	su2
ʃu33	su3
