先	slin1
光	gong1
克	hak1
克	kak1
兌	dui3
免	min5
兑	dui3
兒	ji4
兔	tu3
兕	cy5
兕	zi6
兗	jin5
党	dong2
兜	dau1
兢	ging1
入	jap6
內	nui6
全	cyun4
兩	loeng2
兩	loeng5
八	baat3
八	bet3
公	gung1
六	luk6
兮	hai4
共	gung6
兵	bing1
其	ki4
具	gyu6
典	dim2
典	din2
兼	gim1
冀	gi3
冇	mu5
冉	jim5
冊	caak3
再	zoi3
冏	gwing2
冑	zau6
冒	maau6
冒	mu6
冔	hyu2
冕	min5
冗	jung2
冘	jam4
冘	jau4
冚	ham6
冚	kam2
冠	gun1
冠	gun3
冢	zung2
冤	jyun1
冥	ming4
冧	lam1
冧	lam3
冪	mik6
冬	dung1
冰	bing1
冱	wu6
冶	je5
冷	laang5
冼	slin2
冽	lit6
凄	cai1
准	zan2
准	zyun2
凈	zeng6
凈	zing6
凋	diu1
凌	ling4
凍	dung3
凘	si1
凘	sy1
凜	lam5
凝	ning4
几	gi1
凡	faan4
凧	gan1
凩	muk6
凪	zi2
凭	bang6
凭	pang4
凰	wong4
凱	hoi2
凳	dang3
凶	hung1
凸	dat6
凹	map1
出	cyut1
凼	tam5
函	haam4
刀	du1
刁	diu1
刃	jan6
分	fan1
分	fan6
切	cai3
切	cit3
刈	ngaai6
刉	gi1
刊	hon2
刎	man5
刑	jing4
划	waa1
刓	jyun4
刖	jyut6
列	laat6
列	let6
列	lit6
初	co1
判	pun3
別	bit6
刨	paau4
刨	peu4
利	li6
刪	saan1
刮	gwaat3
刮	gwet3
到	du3
刱	cong3
刳	fu1
制	zai3
刷	caat3
券	gyun3
券	hyun3
刺	cek3
刺	ci3
刺	cy3
刻	hak1
刻	kak1
剁	doek3
剃	tai3
剄	ging2
則	zak1
剉	co3
削	sloek3
剋	hak1
剋	kak1
剌	laa1
剌	laat6
前	cin4
剎	saat3
剒	cok3
剔	tek3
剔	tik1
剖	pau2
剚	zi3
剛	gong1
剜	wun2
剝	bok3
剟	zyut3
剡	jim5
剡	sim6
剩	sing6
剩	zing6
剪	zin2
剮	gwaa2
副	fu3
割	got3
剴	hoi2
創	cong3
剷	caan2
剷	cen2
剺	li4
剽	piu4
剿	ziu2
劁	zyut3
劃	waak6
劄	zaap3
劇	kek6
劈	pek3
劉	lau4
劊	kwai3
劌	gwai3
劍	gim3
劏	tong1
劐	kok3
劑	zai1
劓	ji6
劖	caam4
劖	cem4
劘	mo4
劙	lai5
力	lik6
功	gung1
加	gaa1
劣	lyut3
助	zo6
努	nu5
劫	gip3
劬	kyu4
劭	siu6
劼	kit3
劾	hat6
勁	ging3
勁	ging6
勃	but6
勇	jung5
勉	min5
勍	king4
勒	lak6
動	dung6
勖	juk1
勗	juk1
勘	ham3
務	mu6
勛	fan1
勛	wan1
勝	sing1
勝	sing3
勞	lu4
募	mu6
勠	luk6
勢	sai3
勣	zik1
勤	kan4
勥	goeng6
勦	ziu2
勩	ji6
勰	hip3
勱	maai6
勳	fan1
勳	wan1
勵	lai6
勸	hyun3
勺	zoek3
勻	jan4
勻	wan4
勼	gau1
勾	gau1
勾	ngau1
勿	mat6
匁	jan6
匂	wan4
包	baau1
包	beu1
匆	cung1
匈	hung1
匋	tu4
匍	pu4
匏	paau4
匐	fuk6
匕	bi3
化	faa3
化	waa3
北	bak1
匙	ci4
匙	si4
匜	ji4
匝	zaap3
匠	zoeng6
匡	kwaang1
匣	haap6
匪	fi2
匯	wui6
匱	gwai6
匹	pat1
匼	hap1
匾	ben2
匾	bin2
匿	nik6
區	au1
區	kyu1
十	sap6
千	cin1
卅	slaa1
升	sing1
午	ng5
卉	wai2
半	bun3
卌	sle3
卑	bi1
卒	zat1
卒	zyut1
卓	zoek3
協	hip3
南	naam4
博	bok3
卜	buk1
卜	puk1
卞	bin6
占	zim1
占	zim3
卡	kaa1
卣	jau5
卦	gwaa3
卧	ngo6
卬	joeng5
卬	ngong4
卮	zi1
卯	maau5
印	jan3
危	ngai4
即	zik1
卵	lyun2
卷	gyun2
卸	sle3
卹	slat1
卹	slyut1
卻	koek3
卼	ngat6
卽	zik1
卿	hing1
厂	cong2
厂	hon3
厄	ak1
厎	zi2
厓	ngaai4
厔	zat6
厘	li1
厘	li4
厚	hau5
厝	cu3
原	jyun4
厠	cak1
厠	ci3
厠	cy3
厥	kyut3
厭	jim3
厲	lai6
厴	jim2
厶	mau5
厶	si1
厶	sy1
去	hyu3
厾	duk1
叁	slaam1
參	caam1
參	cam1
參	sam1
叄	slaam1
又	jau6
叉	caa1
及	gap6
友	jau5
反	faan2
叒	joek6
叔	suk1
叕	zyut3
取	cyu2
受	sau6
叚	gaa2
叛	pun3
叟	slau2
叢	cung4
口	hau2
古	gu2
句	gyu3
另	ling6
叨	du1
叨	tu1
叩	kau3
只	zi2
叫	giu3
召	ziu6
叭	baa1
叮	ding1
可	ho2
台	toi4
叱	cik1
史	sai2
史	si2
右	jau6
叵	po2
叶	hip3
司	si1
司	sy1
叻	lek1
叻	lik1
叼	diu1
吁	hyu1
吃	gat1
吃	hek3
吃	jaak3
各	gok3
吆	jiu1
合	hap6
吉	gat1
